Time,High,Low,Close,candlestick_pattern,keltner_up,keltner_down,bollinger_up,bollinger_down,smma125_high,smma120_low,flay_upper,flay_lower,sma7,sma34,sma99,sma200,sma314,tenkan_sen,kijun_sen,span_a,span_b,storm,storm_ema,normalizesma
11/25/2022 22:45,1.000936,0.999749,1.000762,22,1.004153,0.995847,1.00336,0.996886,1.001286,0.998704,1.004454,0.995317,0.999689,0.999751,0.998931,1.001953,0.998366,1.003329,1.001228,0.998402,0.999565,0.408264589,0.366107635,16516.58163
11/25/2022 23:00,1.001298,0.998702,0.999374,0,1.004257,0.995743,1.00343,0.996942,1.001331,0.998727,1.004428,0.995471,0.999826,0.999845,0.998954,1.002008,0.998494,1.003395,1.001294,0.998468,0.999631,0.370538783,0.367897357,16515.49291
11/25/2022 23:15,1.003359,0.999007,1.003222,9,1.0047,0.9953,1.003937,0.99615,1.000993,0.998341,1.004092,0.995312,1.000052,0.999569,0.998606,1.001678,0.998233,1.003055,1.000954,0.99813,0.999292,0.511622772,0.405862367,16521.09644
11/25/2022 23:30,1.003298,1.000765,1.001159,9,1.004736,0.995264,1.003963,0.996065,1.000829,0.998186,1.003977,0.995359,1.000281,0.999469,0.998441,1.001563,0.998182,1.002932,1.000832,0.998008,0.99917,0.551153872,0.448445097,16523.11297
11/25/2022 23:45,1.002302,0.999064,0.999947,0,1.00491,0.99509,1.003876,0.996325,1.000779,0.998151,1.003938,0.995479,1.000546,0.999461,0.9984,1.001579,0.99826,1.003112,1.000838,0.997908,0.999176,0.522527238,0.476226933,16523.02031
11/26/2022 0:00,1.000301,0.999383,1.000001,43,1.004603,0.995397,1.00387,0.996406,1.000744,0.998116,1.003875,0.995571,1.000484,0.999506,0.99835,1.001577,0.998338,1.003112,1.000837,0.997908,0.999176,0.479215574,0.485630655,16523.02218
11/26/2022 0:15,1.00042,0.999218,0.999713,47,1.004383,0.995617,1.003898,0.996454,1.000713,0.998117,1.00384,0.995686,1.000486,0.999545,0.998331,1.001622,0.998453,1.003142,1.000868,0.997938,0.999206,0.452734746,0.483782101,16522.52293
11/26/2022 0:30,1.003973,0.999364,1.001636,9,1.004866,0.995134,1.003961,0.996226,1.000504,0.997915,1.003688,0.995675,1.000515,0.999485,0.998131,1.001469,0.998357,1.002969,1.000695,0.997766,0.999034,0.520059569,0.496080652,16525.36836
11/26/2022 0:45,1.003295,1.000942,1.002963,0,1.004849,0.995151,1.004336,0.995568,1.000164,0.997597,1.00344,0.995562,1.000845,0.999342,0.997835,1.001177,0.998131,1.002656,1.000383,0.997423,0.998722,0.629425843,0.531728093,16530.52376
11/26/2022 1:00,1.005119,1.002131,1.004452,27,1.004959,0.995041,1.00519,0.994327,0.999695,0.997145,1.003128,0.995354,1.000701,0.9991,0.997409,1.000734,0.997761,1.002187,1.000697,0.996769,0.998254,0.717141612,0.580058509,16538.27387
11/26/2022 1:15,1.009102,1.002428,1.0075,0,1.005795,0.994205,1.007053,0.991573,0.998945,0.996375,1.00265,0.994918,1.00106,0.998649,0.996698,0.999975,0.997077,1.002483,1.00104,0.995982,0.997466,0.766992254,0.633511628,16551.34112
11/26/2022 1:30,1.007508,1.004794,1.005317,24,1.005755,0.994245,1.007861,0.990195,0.998427,0.99586,1.002425,0.994682,1.001592,0.99834,0.996213,0.999425,0.996621,1.001921,1.000479,0.995425,0.996908,0.757231495,0.676816043,16560.61054
11/26/2022 1:45,1.004963,1.003075,1.004001,22,1.005555,0.994445,1.008395,0.989469,0.998033,0.99547,1.002291,0.994505,1.002125,0.998187,0.995854,0.999013,0.996289,1.001499,1.000058,0.995005,0.996488,0.722236466,0.702989406,16567.58763
11/26/2022 2:00,1.005697,1.003473,1.004575,55,1.005442,0.994558,1.00904,0.988587,0.997584,0.995028,1.002147,0.994286,1.002794,0.997962,0.995445,0.998541,0.995898,1.001017,0.999576,0.994526,0.996008,0.717034897,0.71918306,16575.57071
11/26/2022 2:15,1.00466,1.002417,1.003477,0,1.005345,0.994655,1.009296,0.988458,0.997246,0.994688,1.002096,0.994135,1.003176,0.997825,0.995135,0.998198,0.995624,1.000651,0.999211,0.994162,0.995644,0.695554725,0.720567379,16581.64017
11/26/2022 2:30,1.004453,1.002374,1.002855,47,1.005225,0.994775,1.009474,0.988433,0.996975,0.994423,1.002111,0.994037,1.003344,0.997752,0.994902,0.997922,0.995415,1.00035,0.99891,0.994062,0.995344,0.68709333,0.713568665,16586.62492
11/26/2022 2:45,1.003007,1.001614,1.002251,47,1.00498,0.99502,1.009463,0.988732,0.996765,0.994216,1.002157,0.993963,1.003244,0.997726,0.99474,0.997705,0.995266,1.000113,0.998674,0.993851,0.995109,0.668769788,0.699929513,16590.55588
11/26/2022 3:00,1.002782,1.001176,1.001241,0,1.004802,0.995198,1.00919,0.989474,0.996658,0.994115,1.002287,0.993968,1.002578,0.997776,0.994687,0.997595,0.995223,1.000101,0.998543,0.99385,0.994979,0.639335675,0.680659398,16592.72294
11/26/2022 3:15,1.001987,1.000441,1.001572,0,1.004631,0.995369,1.009176,0.989708,0.996514,0.993984,1.002372,0.993917,1.002178,0.997834,0.99459,0.997444,0.995151,1.000154,0.998378,0.993685,0.994814,0.603442455,0.656975141,16595.46837
11/26/2022 3:30,1.002545,1.001199,1.00228,0,1.004436,0.995564,1.009088,0.990017,0.996297,0.993784,1.00242,0.993816,1.001967,0.997819,0.994419,0.997194,0.995015,0.999914,0.998138,0.993216,0.994575,0.591460927,0.635787968,16599.45234
11/26/2022 3:45,1.002536,1.000243,1.001435,0,1.00445,0.99555,1.008941,0.990443,0.99617,0.993669,1.002539,0.993777,1.001595,0.997864,0.994334,0.997007,0.994963,0.999763,0.997988,0.995865,0.994425,0.536232818,0.605464323,16601.96068
11/26/2022 4:00,1.001875,1.000362,1.000391,11,1.004308,0.995692,1.008401,0.991528,0.996152,0.993657,1.002749,0.993821,1.001295,0.997976,0.994367,0.99692,0.99501,1.000042,0.997947,0.995824,0.994384,0.427915794,0.554518638,16602.64348
11/26/2022 4:15,1.001741,1.000194,1.000842,27,1.004186,0.995814,1.008384,0.991631,0.996089,0.993601,1.002912,0.993817,1.001069,0.998056,0.994356,0.996808,0.995012,1.000039,0.997858,0.995736,0.994296,0.385151243,0.50244035,16604.11457
11/26/2022 4:30,1.001164,0.999829,1.000481,47,1.004034,0.995966,1.008145,0.992194,0.996062,0.99357,1.003093,0.99383,1.00089,0.998168,0.994383,0.996737,0.995048,0.999989,0.997808,0.996293,0.994246,0.36190123,0.455333204,16604.95509
11/26/2022 4:45,1.002249,0.999975,1.001382,0,1.004085,0.995915,1.007526,0.993174,0.995952,0.993447,1.003206,0.993778,1.000891,0.998145,0.994321,0.996573,0.995001,0.999905,0.997662,0.996505,0.994101,0.428569831,0.435852799,16607.3708
11/26/2022 5:00,1.002149,1.000884,1.001111,43,1.003929,0.996071,1.006687,0.99441,0.995869,0.993352,1.003351,0.99376,1.000827,0.998152,0.994286,0.996429,0.994978,0.999788,0.997942,0.996575,0.993985,0.473278012,0.435076791,16609.31263
11/26/2022 5:15,1.002209,1.000412,1.001745,17,1.003895,0.996105,1.005294,0.996179,0.99572,0.993199,1.003432,0.993679,1.000678,0.998172,0.99424,0.996212,0.994883,0.999763,0.997809,0.996457,0.993802,0.568912369,0.462858103,16612.3638
11/26/2022 5:30,1.002202,1.000957,1.001649,4,1.003754,0.996246,1.004317,0.997351,0.995583,0.993057,1.003528,0.993613,1.000649,0.998196,0.994221,0.996021,0.994798,1.000529,0.997892,0.996291,0.99363,0.628780488,0.50641175,16615.24725
11/26/2022 5:45,1.001822,1.000468,1.000557,11,1.003649,0.996351,1.003737,0.998091,0.99555,0.99302,1.003708,0.993633,1.000731,0.998365,0.994306,0.995936,0.994817,1.001296,0.997834,0.996268,0.993361,0.590636241,0.537124061,16616.2218
11/26/2022 6:00,1.000856,0.996879,0.997664,4,1.00408,0.99592,1.004612,0.997476,0.995808,0.993258,1.004075,0.993846,1.000592,0.998725,0.994659,0.996133,0.995128,1.001144,0.998079,0.996513,0.993605,0.461977665,0.529860284,16612.13782
11/26/2022 6:15,0.998752,0.996224,0.997817,37,1.004179,0.995821,1.004676,0.99725,0.996012,0.99349,1.004376,0.994,1.000471,0.999079,0.994985,0.996335,0.995423,1.000419,0.998308,0.996742,0.993833,0.383789882,0.500305761,16608.32184
11/26/2022 6:30,0.998905,0.997649,0.998491,0,1.004013,0.995987,1.004861,0.996972,0.996155,0.993671,1.004622,0.994108,1.000202,0.999394,0.995275,0.996463,0.995653,1.000128,0.998467,0.9969,0.993901,0.388513144,0.471150315,16605.68357
11/26/2022 6:45,0.998876,0.995857,0.997483,9,1.004216,0.995784,1.005541,0.996375,0.996402,0.993939,1.00492,0.994275,0.99988,0.999711,0.995641,0.996685,0.995982,0.999998,0.998731,0.997165,0.994164,0.381605752,0.441698618,16601.28513
11/26/2022 7:00,0.998576,0.997422,0.997996,0,1.004026,0.995974,1.005704,0.996111,0.996595,0.994171,1.005172,0.994406,0.999429,0.999999,0.995937,0.996863,0.996262,0.999922,0.998942,0.997375,0.994374,0.381666153,0.415536029,16597.78369
11/26/2022 7:15,0.998689,0.997612,0.997818,27,1.00384,0.99616,1.006019,0.995764,0.996799,0.99442,1.005427,0.994552,0.998928,1.000279,0.996256,0.997057,0.996563,1.000152,0.999245,0.99769,0.994602,0.368706056,0.392820782,16593.97191
11/26/2022 7:30,0.998845,0.996271,0.998801,11,1.003971,0.996029,1.006042,0.99562,0.9969,0.994545,1.005562,0.99459,0.998594,1.000524,0.996471,0.997148,0.996765,0.999942,0.999645,0.997816,0.994728,0.376399772,0.381317336,16591.87744
11/26/2022 7:45,1.000536,0.998482,0.999557,4,1.003985,0.996015,1.005939,0.995551,0.996958,0.994609,1.00567,0.99461,0.99873,1.000587,0.996612,0.997173,0.996888,0.999989,0.999821,0.997863,0.994774,0.409309614,0.385692653,16591.1034
11/26/2022 8:00,1.00031,0.999387,1.000069,8,1.003771,0.996229,1.005869,0.99548,0.996968,0.994634,1.005732,0.994592,0.998897,1.000669,0.9967,0.997141,0.996955,0.999982,0.999828,0.997856,0.994767,0.447442042,0.401482078,16591.22308
11/26/2022 8:15,1.000276,0.99892,0.999538,22,1.003665,0.996335,1.005792,0.99542,0.997037,0.994733,1.005829,0.994617,0.998964,1.000825,0.996824,0.997166,0.997073,1.00003,0.999948,0.997904,0.994816,0.439254636,0.412951361,16590.41707
11/26/2022 8:30,0.99973,0.998838,0.99904,0,1.003477,0.996523,1.005572,0.995454,0.997157,0.994878,1.005952,0.994676,0.99918,1.001014,0.996993,0.997226,0.997239,1.000131,1.000049,0.998395,0.994916,0.420816399,0.417998888,16588.74116
11/26/2022 8:45,0.999744,0.998779,0.999143,43,1.003323,0.996677,1.005444,0.995444,0.99726,0.99501,1.006057,0.994721,0.999343,1.001203,0.997162,0.997275,0.997354,1.000222,1.00014,0.999593,0.996091,0.442657377,0.42710628,16587.24486
11/26/2022 9:00,1.000612,0.999039,1.00015,9,1.003305,0.996695,1.005336,0.995405,0.997264,0.995026,1.006083,0.994692,0.999605,1.001253,0.997243,0.997232,0.997359,1.000206,1.000124,0.999577,0.996075,0.536081791,0.457391518,16587.50725
11/26/2022 9:15,1.000448,0.999233,1.000029,43,1.003218,0.996782,1.005141,0.995413,0.99728,0.995061,1.006115,0.994676,0.99974,1.001266,0.997336,0.997192,0.997371,1.000203,1.000121,0.999574,0.996072,0.575697304,0.491602928,16587.55704
11/26/2022 9:30,1.00069,0.99937,1.000566,11,1.00316,0.99684,1.004967,0.995378,0.997255,0.995056,1.006098,0.994619,0.999803,1.001181,0.997367,0.997099,0.997333,1.000143,1.000061,0.999514,0.996013,0.635330587,0.53360489,16588.54589
11/26/2022 9:45,1.000677,0.999774,1.000126,24,1.003024,0.996976,1.004555,0.995525,0.99728,0.995094,1.006118,0.994613,0.999777,1.001018,0.99743,0.997076,0.997324,1.00013,1.000221,0.999501,0.995999,0.621943507,0.564187905,16588.76628
11/26/2022 10:00,1.002402,0.999435,1.001506,0,1.003315,0.996685,1.004223,0.995471,0.997175,0.994985,1.006023,0.994508,0.999908,1.000802,0.997364,0.996925,0.997185,0.999971,1.000062,0.999343,0.995841,0.644431392,0.594160696,16591.39711
11/26/2022 10:15,1.002718,1.000304,1.00099,47,1.003466,0.996534,1.003554,0.99574,0.997121,0.994945,1.005982,0.994473,1.00012,1.000654,0.997352,0.996842,0.997085,0.999867,0.999958,0.999238,0.995738,0.625917933,0.612177381,16593.12691
