Time,Open,High,Low,Close,Volume,Volume_quote,hlc3,ohlc4,hl2,candlestick_pattern,keltner_up,keltner_down,bollinger_up,bollinger_down,smma125_high,smma120_low,flay_upper,flay_lower,sma7,sma34,sma99,sma200,sma314,tenkan_sen,kijun_sen,span_a,span_b,storm,storm_ema,normalizesma
2022-11-25 23:45:00,16542.27,16561.06,16507.55,16522.14,1645.8,27200605.9,16530.25,16533.26,16534.31,0,16604.15250128262,16441.888108920593,16587.06177401237,16462.306225988243,16535.89327743972,16492.463774999866,16588.08223452881,16448.322173314322,16532.038571428366,16514.12264705885,16496.590101009824,16549.112999999954,16494.268789808895,16574.434999999998,16536.86,16488.457499999997,16509.405,0.5225272384320007,0.4762269329643276,16523.020305101607
2022-11-26 00:00:00,16521.35,16528.0,16512.82,16523.04,975.32,16112978.04,16521.29,16521.3,16520.41,43,16599.077157369127,16446.967204243305,16586.958184404677,16463.63181559593,16535.314849279723,16491.89632916653,16587.04260345997,16449.8416632067,16531.01428571408,16514.862352941207,16495.760909090634,16549.079249999955,16495.56687898087,16574.434999999998,16536.86,16488.457499999997,16509.405,0.4792155738544797,0.4856306547355848,16523.022180806216
2022-11-26 00:15:00,16523.05,16529.46,16509.6,16517.78,1637.43,27045268.83,16518.95,16519.97,16519.53,47,16594.94440439796,16450.10144658472,16586.919961921994,16463.928038078608,16534.30802303972,16491.405809027645,16585.97565950372,16451.23765814334,16530.554285714083,16515.0029411765,16494.94989898962,16549.320649999954,16496.954808917177,16574.434999999998,16536.86,16488.457499999997,16509.405,0.45273474557942867,0.4837821012640705,16522.52292549134
2022-11-26 00:30:00,16518.47,16591.03,16514.85,16552.4,4048.69,67032089.31,16552.76,16544.19,16552.94,9,16605.78369217479,16444.95303014287,16590.83309536504,16462.994904635565,16533.69319359972,16490.917034027647,16586.311885294086,16453.89551862748,16533.872857142655,16516.85500000003,16494.479696969418,16549.641999999953,16498.220828025456,16574.434999999998,16536.86,16488.457499999997,16509.405,0.5200595690328331,0.49608065160589054,16525.36836115883
2022-11-26 00:45:00,16552.4,16585.0,16546.1,16579.5,1812.95,30030411.48,16570.2,16565.75,16565.55,0,16610.67755324854,16450.369957419818,16602.203071822314,16457.253928178292,16533.24164607972,16490.80425347209,16587.39581462832,16457.15839713638,16544.494285714085,16519.648235294146,16494.737272726994,16549.976949999953,16499.625414012717,16574.434999999998,16536.86,16487.9175,16509.405,0.629425843103116,0.5317280925907759,16530.52375533418
2022-11-26 01:00:00,16579.27,16622.93,16573.52,16611.9,3679.76,61073587.46,16602.78,16596.91,16598.23,27,16620.29429199671,16456.253455750855,16624.10862714487,16444.454372855736,16533.22772543972,16491.064817360977,16590.011277892187,16461.43334955879,16549.86142857123,16523.391470588263,16495.4177777775,16550.407349999954,16501.25006369425,16574.434999999998,16549.795,16484.8375,16509.405,0.7171416122779645,0.5800585094451177,16538.273873873783
2022-11-26 01:15:00,16611.92,16701.99,16591.53,16675.48,5684.83,94687100.71,16656.33,16645.23,16646.76,0,16647.251500291677,16455.430747670405,16668.084717517555,16411.863282483046,16533.874887039718,16491.34001597209,16595.210062308346,16467.223208279887,16568.891428571227,16528.974411764735,16496.683131312853,16550.922149999955,16502.95449044584,16592.43,16568.550000000003,16484.8375,16509.405,0.766992253607226,0.6335116280561343,16551.34112398104
2022-11-26 01:30:00,16674.54,16684.95,16640.0,16648.67,2725.48,45402790.19,16657.87,16662.04,16662.48,24,16655.91987942432,16465.30120206518,16690.794781550652,16398.228218449953,16534.567085439718,16492.05407638876,16600.778282270836,16472.539239297785,16586.96714285694,16533.125882352968,16497.89404040376,16551.089199999955,16504.646114649662,16592.43,16568.550000000003,16484.8375,16509.405,0.7572314945952602,0.6768160432804199,16560.61054074475
2022-11-26 01:45:00,16648.13,16649.82,16618.54,16633.87,1732.41,28815156.84,16634.08,16637.59,16634.18,22,16659.622036914006,16475.55322729078,16706.674768711226,16393.122231289377,16534.99584127972,16492.53313124987,16605.53695885276,16476.54315095117,16602.799999999796,16537.555294117676,16498.90191919164,16551.242999999955,16506.10608280253,16592.43,16568.550000000003,16484.8375,16509.405,0.7222364657093179,0.7029894064202464,16567.587632102393
2022-11-26 02:00:00,16634.33,16670.0,16633.13,16651.41,2029.49,33800338.61,16651.51,16647.22,16651.57,55,16665.775679089762,16485.365750428857,16725.41950466635,16386.390495334243,16535.51709951972,16493.15178749987,16611.158840084292,16480.851936386298,16621.8899999998,16541.785588235325,16500.075353535074,16551.395199999955,16507.58060509552,16592.43,16568.550000000003,16484.8375,16509.405,0.7170348970385417,0.7191830598261346,16575.57071475931
